DOI,Affiliation_Name,ROR_ID
10.5937/adpn2401057s,,https://ror.org/02qsmb048
10.31234/osf.io/ma2bx,Universiteit Gent,https://ror.org/00cv9y106
10.7554/elife.88225.3,"Department of Immunobiology, The University of Arizona College of Medicine",https://ror.org/03m2x1q45
10.7554/elife.88225.3,"School of Animal and Comparative Biomedical Sciences, The University of Arizona",https://ror.org/03m2x1q45
10.7554/elife.88225.3,"Cancer Biology Graduate Interdisciplinary Program and Genetics Graduate Interdisciplinary Program, The University of Arizona",https://ror.org/03m2x1q45
10.7554/elife.88225.3,"The BIO-5 Institute, The University of Arizona",https://ror.org/03m2x1q45
10.7554/elife.88225.3,The University of Arizona Cancer Center,https://ror.org/04tvx8690
10.7554/elife.88225.3,"The Arizona Center on Aging, The University of Arizona College of Medicine",https://ror.org/03m2x1q45
10.59456/afts.2024.1630.033v,,https://ror.org/0282m7c06
10.59456/afts.2024.1630.033v,,https://ror.org/00xa57a59
10.59456/afts.2024.1630.033v,,https://ror.org/00965bg92
10.31234/osf.io/yprb5,New York University,https://ror.org/0190ak572
10.31234/osf.io/yprb5,Princeton University,https://ror.org/00hx57361
10.7554/elife.84415.sa2,"Department of Molecular and Cellular Biology, University of California, Davis",https://ror.org/05rrcem69
10.7554/elife.84415.sa2,"Department of Physiology and Cellular Biophysics, Columbia University Irving Medical Center",https://ror.org/00hj8s172
10.7554/elife.84415.sa2,"The Robert N. Butler Columbia Aging Center, Columbia University Irving Medical Center",https://ror.org/00hj8s172
10.1075/wll.00071.ost,Ruhr University Bochum,https://ror.org/04tsk2644
10.1075/wll.00073.joy,Tama University,https://ror.org/02gdq8g56
10.1075/wll.00073.joy,Hiroshima Shudo University,https://ror.org/05n757p35
10.1075/wll.00074.sel,Università degli Studi di Pisa,https://ror.org/03ad39j10
10.1075/wll.00074.sel,Università degli Studi di Siena,https://ror.org/01tevnk56
10.52294/001c.116386,University of Stuttgart,https://ror.org/04vnq7t77
10.18174/653541,Wageningen University & Research,https://ror.org/04qw24q55
10.35542/osf.io/y52ew,Carnegie Mellon University,https://ror.org/05x2bcf33
